,ID_VIDEOJUEGO,Nombre Videojuego,Año Publicación,Género,Siglas Consola,Nombre Consola,Familia Consolas,Ventas Total,Puntaje Críticos,Puntaje Usuarios,Rating
0,VID_000001,Wii Sports,2006,Sports,Wii,Nintendo Wii,Nintendo,82530000,76.0,80.0,E
1,VID_000003,Mario Kart Wii,2008,Racing,Wii,Nintendo Wii,Nintendo,35520000,82.0,83.0,E
2,VID_000004,Wii Sports Resort,2009,Sports,Wii,Nintendo Wii,Nintendo,32770000,80.0,80.0,E
3,VID_000008,Wii Play,2006,Misc,Wii,Nintendo Wii,Nintendo,28920000,58.0,66.0,E
4,VID_000009,New Super Mario Bros. Wii,2009,Platform,Wii,Nintendo Wii,Nintendo,28320000,87.0,84.0,E
5,VID_000014,Wii Fit,2007,Sports,Wii,Nintendo Wii,Nintendo,22700000,80.0,77.0,E
6,VID_000016,Wii Fit Plus,2009,Sports,Wii,Nintendo Wii,Nintendo,21790000,80.0,74.0,E
7,VID_000039,Super Smash Bros. Brawl,2008,Fighting,Wii,Nintendo Wii,Nintendo,12840000,93.0,89.0,T
8,VID_000049,Super Mario Galaxy,2007,Platform,Wii,Nintendo Wii,Nintendo,11350000,97.0,89.0,E
9,VID_000060,Just Dance 3,2011,Misc,Wii,Nintendo Wii,Nintendo,10120000,74.0,78.0,E10+
10,VID_000067,Just Dance 2,2010,Misc,Wii,Nintendo Wii,Nintendo,9440000,74.0,73.0,E10+
11,VID_000076,Wii Party,2010,Misc,Wii,Nintendo Wii,Nintendo,8380000,68.0,74.0,E
12,VID_000077,Mario Party 8,2007,Misc,Wii,Nintendo Wii,Nintendo,8270000,62.0,63.0,E
14,VID_000093,Super Mario Galaxy 2,2010,Platform,Wii,Nintendo Wii,Nintendo,7510000,97.0,91.0,E
15,VID_000099,Just Dance,2009,Misc,Wii,Nintendo Wii,Nintendo,7200000,49.0,80.0,E10+
16,VID_000103,The Legend of Zelda: Twilight Princess,2006,Action,Wii,Nintendo Wii,Nintendo,7150000,95.0,90.0,T
17,VID_000112,Just Dance 4,2012,Misc,Wii,Nintendo Wii,Nintendo,6760000,74.0,73.0,E10+
19,VID_000124,Donkey Kong Country Returns,2010,Platform,Wii,Nintendo Wii,Nintendo,6440000,87.0,86.0,E
20,VID_000150,LEGO Star Wars: The Complete Saga,2007,Action,Wii,Nintendo Wii,Nintendo,5640000,80.0,89.0,E10+
21,VID_000202,Link's Crossbow Training,2007,Shooter,Wii,Nintendo Wii,Nintendo,4980000,68.0,71.0,T
22,VID_000223,Animal Crossing: City Folk,2008,Simulation,Wii,Nintendo Wii,Nintendo,4620000,73.0,76.0,E
23,VID_000226,Guitar Hero III: Legends of Rock,2007,Misc,Wii,Nintendo Wii,Nintendo,4600000,86.0,84.0,T
25,VID_000245,Michael Jackson: The Experience,2010,Misc,Wii,Nintendo Wii,Nintendo,4360000,56.0,83.0,E10+
26,VID_000282,Carnival Games,2007,Misc,Wii,Nintendo Wii,Nintendo,4050000,56.0,60.0,E
27,VID_000294,The Legend of Zelda: Skyward Sword,2011,Action,Wii,Nintendo Wii,Nintendo,3950000,93.0,80.0,E10+
28,VID_000298,EA Sports Active,2009,Sports,Wii,Nintendo Wii,Nintendo,3900000,81.0,87.0,E
29,VID_000314,Big Brain Academy: Wii Degree,2007,Misc,Wii,Nintendo Wii,Nintendo,3790000,68.0,69.0,E
31,VID_000323,Super Paper Mario,2007,Platform,Wii,Nintendo Wii,Nintendo,3710000,85.0,79.0,E
32,VID_000339,Guitar Hero: World Tour,2008,Misc,Wii,Nintendo Wii,Nintendo,3620000,86.0,76.0,T
34,VID_000403,Wii Music,2008,Misc,Wii,Nintendo Wii,Nintendo,3250000,63.0,46.0,E
35,VID_000422,Mario Party 9,2012,Misc,Wii,Nintendo Wii,Nintendo,3130000,73.0,68.0,E
36,VID_000454,Epic Mickey,2010,Platform,Wii,Nintendo Wii,Nintendo,3000000,73.0,70.0,E
37,VID_000481,Cooking Mama: Cook Off,2007,Simulation,Wii,Nintendo Wii,Nintendo,2890000,61.0,53.0,E
38,VID_000483,WarioWare: Smooth Moves,2006,Puzzle,Wii,Nintendo Wii,Nintendo,2890000,83.0,74.0,E10+
40,VID_000515,Skylanders: Spyro's Adventure,2011,Action,Wii,Nintendo Wii,Nintendo,2780000,81.0,56.0,E10+
41,VID_000527,Sonic and the Secret Rings,2007,Platform,Wii,Nintendo Wii,Nintendo,2730000,69.0,66.0,E
42,VID_000567,Mario Strikers Charged,2007,Sports,Wii,Nintendo Wii,Nintendo,2580000,79.0,80.0,E10+
44,VID_000589,Skylanders Giants,2012,Action,Wii,Nintendo Wii,Nintendo,2520000,78.0,70.0,E10+
45,VID_000591,Deca Sports,2008,Sports,Wii,Nintendo Wii,Nintendo,2500000,50.0,54.0,E
46,VID_000597,Game Party,2007,Misc,Wii,Nintendo Wii,Nintendo,2480000,25.0,43.0,E
47,VID_000611,LEGO Harry Potter: Years 1-4,2010,Action,Wii,Nintendo Wii,Nintendo,2430000,79.0,80.0,E10+
50,VID_000687,Super Monkey Ball: Banana Blitz,2006,Misc,Wii,Nintendo Wii,Nintendo,2240000,74.0,57.0,E
52,VID_000698,Monster Hunter Tri,2009,Role-Playing,Wii,Nintendo Wii,Nintendo,2220000,84.0,86.0,T
54,VID_000730,Sonic Unleashed,2008,Platform,Wii,Nintendo Wii,Nintendo,2160000,66.0,73.0,E10+
56,VID_000743,Your Shape featuring Jenny McCarthy,2009,Sports,Wii,Nintendo Wii,Nintendo,2120000,62.0,52.0,E
57,VID_000774,Mario Sports Mix,2010,Sports,Wii,Nintendo Wii,Nintendo,2080000,64.0,71.0,E
58,VID_000778,Dance Dance Revolution: Hottest Party,2007,Simulation,Wii,Nintendo Wii,Nintendo,2069999,73.0,71.0,E10+
61,VID_000808,Rayman Raving Rabbids: TV Party,2008,Misc,Wii,Nintendo Wii,Nintendo,2029999,73.0,77.0,E10+
63,VID_000849,Call of Duty: World at War,2008,Shooter,Wii,Nintendo Wii,Nintendo,1940000,83.0,76.0,M
64,VID_000872,Mario Super Sluggers,2008,Sports,Wii,Nintendo Wii,Nintendo,1890000,69.0,78.0,E
65,VID_000874,Monopoly,2008,Misc,Wii,Nintendo Wii,Nintendo,1890000,70.0,78.0,E
66,VID_000877,Game Party 2,2008,Misc,Wii,Nintendo Wii,Nintendo,1880000,29.0,46.0,E
67,VID_000883,Toy Story Mania!,2009,Misc,Wii,Nintendo Wii,Nintendo,1880000,49.0,66.0,E
68,VID_000897,Star Wars: The Force Unleashed,2008,Action,Wii,Nintendo Wii,Nintendo,1860000,71.0,79.0,T
69,VID_000910,Rayman Raving Rabbids 2,2007,Misc,Wii,Nintendo Wii,Nintendo,1830000,67.0,83.0,E10+
71,VID_000937,Metroid Prime 3: Corruption,2007,Shooter,Wii,Nintendo Wii,Nintendo,1790000,90.0,89.0,T
72,VID_000947,LEGO Star Wars III: The Clone Wars,2011,Action,Wii,Nintendo Wii,Nintendo,1760000,76.0,77.0,E10+
74,VID_001000,The Beatles: Rock Band,2009,Misc,Wii,Nintendo Wii,Nintendo,1710000,89.0,89.0,T
77,VID_001030,Sonic Colors,2010,Platform,Wii,Nintendo Wii,Nintendo,1680000,78.0,85.0,E
78,VID_001038,We Ski,2008,Sports,Wii,Nintendo Wii,Nintendo,1670000,67.0,85.0,E
79,VID_001054,Big Beach Sports,2008,Sports,Wii,Nintendo Wii,Nintendo,1660000,44.0,80.0,E
80,VID_001057,Shaun White Snowboarding: Road Trip,2008,Sports,Wii,Nintendo Wii,Nintendo,1660000,78.0,87.0,E10+
81,VID_001064,Kirby's Return to Dreamland,2011,Platform,Wii,Nintendo Wii,Nintendo,1650000,77.0,85.0,E10+
82,VID_001066,Star Wars The Clone Wars: Lightsaber Duels,2008,Action,Wii,Nintendo Wii,Nintendo,1650000,56.0,67.0,T
83,VID_001070,MySims,2007,Simulation,Wii,Nintendo Wii,Nintendo,1650000,68.0,72.0,E
85,VID_001116,Pokemon Battle Revolution,2006,Role-Playing,Wii,Nintendo Wii,Nintendo,1580000,53.0,67.0,E
86,VID_001118,Dance Dance Revolution: Hottest Party 2,2008,Simulation,Wii,Nintendo Wii,Nintendo,1580000,69.0,68.0,E10+
87,VID_001140,Carnival Games: Mini Golf,2008,Sports,Wii,Nintendo Wii,Nintendo,1560000,38.0,57.0,E
88,VID_001148,LEGO Pirates of the Caribbean: The Video Game,2011,Action,Wii,Nintendo Wii,Nintendo,1550000,73.0,70.0,E10+
89,VID_001154,Guitar Hero 5,2009,Misc,Wii,Nintendo Wii,Nintendo,1550000,89.0,69.0,T
90,VID_001162,Active Life: Outdoor Challenge,2008,Sports,Wii,Nintendo Wii,Nintendo,1540000,69.0,81.0,E
91,VID_001168,Go Vacation,2011,Misc,Wii,Nintendo Wii,Nintendo,1530000,64.0,78.0,E10+
92,VID_001175,Resident Evil: The Umbrella Chronicles,2007,Action,Wii,Nintendo Wii,Nintendo,1520000,75.0,76.0,M
93,VID_001189,MySims Kingdom,2008,Simulation,Wii,Nintendo Wii,Nintendo,1510000,76.0,81.0,E
99,VID_001281,Smarty Pants,2007,Misc,Wii,Nintendo Wii,Nintendo,1430000,65.0,76.0,E
100,VID_001288,Hasbro Family Game Night,2008,Puzzle,Wii,Nintendo Wii,Nintendo,1430000,63.0,75.0,E
101,VID_001299,Tiger Woods PGA Tour 09 All-Play,2008,Sports,Wii,Nintendo Wii,Nintendo,1420000,81.0,87.0,E
102,VID_001302,Rayman Raving Rabbids,2006,Misc,Wii,Nintendo Wii,Nintendo,1420000,76.0,79.0,E
104,VID_001322,LEGO Indiana Jones 2: The Adventure Continues,2009,Action,Wii,Nintendo Wii,Nintendo,1400000,72.0,61.0,E10+
108,VID_001353,Call of Duty: Black Ops,2010,Shooter,Wii,Nintendo Wii,Nintendo,1370000,80.0,58.0,M
109,VID_001369,Hasbro Family Game Night 2,2009,Misc,Wii,Nintendo Wii,Nintendo,1350000,63.0,63.0,E
111,VID_001388,Metroid: Other M,2010,Action,Wii,Nintendo Wii,Nintendo,1340000,79.0,65.0,T
