ID_DESARROLLADOR,Nombre Desarrollador
DES_0001,Nintendo
DES_0002,Microsoft Game Studios
DES_0003,Take-Two Interactive
DES_0004,Sony Computer Entertainment
DES_0005,Activision
DES_0006,Ubisoft
DES_0007,Bethesda Softworks
DES_0008,Electronic Arts
DES_0009,Sega
DES_0010,SquareSoft
DES_0011,Atari
DES_0012,505 Games
DES_0013,Capcom
DES_0014,GT Interactive
DES_0015,Konami Digital Entertainment
DES_0016,Square Enix
DES_0017,Sony Computer Entertainment Europe
DES_0018,Virgin Interactive
DES_0019,LucasArts
DES_0020,Warner Bros. Interactive Entertainment
DES_0021,Universal Interactive
DES_0022,Eidos Interactive
DES_0023,RedOctane
DES_0024,Vivendi Games
DES_0025,Enix Corporation
DES_0026,Namco Bandai Games
DES_0027,Palcom
DES_0028,Hasbro Interactive
DES_0029,THQ
DES_0030,Fox Interactive
DES_0031,Acclaim Entertainment
DES_0032,MTV Games
DES_0033,Disney Interactive Studios
DES_0034,Codemasters
DES_0035,Majesco Entertainment
DES_0036,Red Orb
DES_0037,Level 5
DES_0038,Arena Entertainment
DES_0039,Midway Games
DES_0040,JVC
DES_0041,Deep Silver
DES_0042,NCSoft
DES_0043,989 Studios
DES_0044,UEP Systems
DES_0045,Parker Bros.
DES_0046,Maxis
DES_0047,Imagic
DES_0048,Tecmo Koei
DES_0049,ASCII Entertainment
DES_0050,Valve Software
DES_0051,Mindscape
DES_0052,Infogrames
DES_0053,Unknown
DES_0054,Square
DES_0055,Valve
DES_0056,Banpresto
DES_0057,Hello Games
DES_0058,D3Publisher
DES_0059,Activision Value
DES_0060,Oxygen Interactive
DES_0061,Red Storm Entertainment
DES_0062,Video System
DES_0063,Global Star
DES_0064,Gotham Games
DES_0065,Westwood Studios
DES_0066,GungHo
DES_0067,Crave Entertainment
DES_0068,Hudson Soft
DES_0069,Coleco
DES_0070,Rising Star Games
DES_0071,TDK Mediactive
DES_0072,ASC Games
DES_0073,Accolade
DES_0074,Zoo Games
DES_0075,Sony Online Entertainment
DES_0076,3DO
DES_0077,Natsume
DES_0078,RTL
DES_0079,Alchemist
DES_0080,Black Label Games
DES_0081,SouthPeak Games
DES_0082,Focus Home Interactive
DES_0083,Ocean
DES_0084,Zoo Digital Publishing
DES_0085,Psygnosis
DES_0086,City Interactive
DES_0087,Empire Interactive
DES_0088,Success
DES_0089,Compile
DES_0090,Russel
DES_0091,Atlus
DES_0092,Mastertronic
DES_0093,Slightly Mad Studios
DES_0094,Taito
DES_0095,Agetec
DES_0096,Microprose
DES_0097,Play It
DES_0098,GSP
DES_0099,Tomy Corporation
DES_0100,Sammy Corporation
DES_0101,Koch Media
DES_0102,Game Factory
DES_0103,Titus
DES_0104,Marvelous Entertainment
DES_0105,Genki
DES_0106,Mojang
DES_0107,CTO SpA
DES_0108,TalonSoft
DES_0109,Crystal Dynamics
DES_0110,"mixi, Inc"
DES_0111,Pinnacle
DES_0112,SCi
DES_0113,Quelle
DES_0114,Rage Software
DES_0115,Ubisoft Annecy
DES_0116,Interplay
DES_0117,Scholastic Inc.
DES_0118,Mystique
DES_0119,ChunSoft
DES_0120,Square EA
DES_0121,20th Century Fox Video Games
DES_0122,Hudson Entertainment
DES_0123,Men-A-Vision
DES_0124,Nobilis
DES_0125,Avanquest Software
DES_0126,Big Ben Interactive
DES_0127,Nordic Games
DES_0128,Touchstone
DES_0129,Spike
DES_0130,Nippon Ichi Software
DES_0131,Sony Computer Entertainment America
DES_0132,Jester Interactive
DES_0133,LEGO Media
DES_0134,Quest
DES_0135,Illusion Softworks
DES_0136,Tigervision
DES_0137,Rocket Company
DES_0138,Metro 3D
DES_0139,Mattel Interactive
DES_0140,IE Institute
DES_0141,Funbox Media
DES_0142,Rondomedia
DES_0143,Universal Gamex
DES_0144,Ghostlight
DES_0145,Wizard Video Games
DES_0146,BMG Interactive Entertainment
DES_0147,PQube
DES_0148,Trion Worlds
DES_0149,Xseed Games
DES_0150,Laguna
DES_0151,Takara
DES_0152,Ignition Entertainment
DES_0153,Kadokawa Shoten
DES_0154,Enterbrain
DES_0155,Imagineer
DES_0156,CPG Products
DES_0157,System 3 Arcade Software
DES_0158,Aruze Corp
DES_0159,Destineer
DES_0160,Gamebridge
DES_0161,Midas Interactive Entertainment
DES_0162,Jaleco
DES_0163,Answer Software
DES_0164,Pack In Soft
DES_0165,XS Games
DES_0166,Rebellion
DES_0167,Ultravision
DES_0168,Harmonix Music Systems
DES_0169,Activision Blizzard
DES_0170,Xplosiv
DES_0171,Wanadoo
DES_0172,Telltale Games
DES_0173,NovaLogic
DES_0174,Epoch
DES_0175,BAM! Entertainment
DES_0176,GameMill Entertainment
DES_0177,Knowledge Adventure
DES_0178,Tetris Online
DES_0179,Mastiff
DES_0180,ESP
DES_0181,TYO
DES_0182,Telegames
DES_0183,Mud Duck Productions
DES_0184,Screenlife
DES_0185,Pioneer LDC
DES_0186,Magical Company
DES_0187,Kemco
DES_0188,Mentor Interactive
DES_0189,Human Entertainment
DES_0190,Data Age
DES_0191,Electronic Arts Victor
DES_0192,Jack of All Games
DES_0193,Avanquest
DES_0194,Black Bean Games
DES_0195,989 Sports
DES_0196,Takara Tomy
DES_0197,Media Rings
DES_0198,Elf
DES_0199,Starfish
DES_0200,Zushi Games
DES_0201,Jorudan
DES_0202,"Destination Software, Inc"
DES_0203,New
DES_0204,Brash Entertainment
DES_0205,Kalypso Media
DES_0206,ITT Family Games
DES_0207,Ackkstudios
DES_0208,PopCap Games
DES_0209,Starpath Corp.
DES_0210,BPS
DES_0211,Gathering of Developers
DES_0212,NewKidCo
DES_0213,Marvelous Interactive
DES_0214,Storm City Games
DES_0215,CokeM Interactive
DES_0216,P2 Games
DES_0217,CBS Electronics
DES_0218,Home Entertainment Suppliers
DES_0219,Magix
DES_0220,Arc System Works
DES_0221,Angel Studios
DES_0222,Wargaming.net
DES_0223,Playmates
DES_0224,SNK Playmore
DES_0225,Hamster Corporation
DES_0226,From Software
DES_0227,Nippon Columbia
DES_0228,Nichibutsu
DES_0229,Conspiracy Entertainment
DES_0230,Hect
DES_0231,Mumbo Jumbo
DES_0232,DTP Entertainment
DES_0233,Pacific Century Cyber Works
DES_0234,Indie Games
DES_0235,Liquid Games
DES_0236,NEC
DES_0237,Axela
DES_0238,ArtDink
DES_0239,Sunsoft
DES_0240,Little Orbit
DES_0241,FuRyu
DES_0242,Gust
DES_0243,SNK
DES_0244,NEC Interchannel
DES_0245,Nihon Falcom Corporation
DES_0246,Xing Entertainment
DES_0247,ValuSoft
DES_0248,Victor Interactive
DES_0249,American Softworks
DES_0250,Falcom Corporation
DES_0251,Detn8 Games
DES_0252,Bomb
DES_0253,Nordcurrent
DES_0254,Milestone S.r.l.
DES_0255,AQ Interactive
DES_0256,Sears
DES_0257,Seta Corporation
DES_0258,On Demand
DES_0259,CCP
DES_0260,NCS
DES_0261,Rebellion Developments
DES_0262,Agatsuma Entertainment
DES_0263,Gremlin Interactive Ltd
DES_0264,Aspyr
DES_0265,Compile Heart
DES_0266,Culture Brain
DES_0267,Mad Catz
DES_0268,Shogakukan
DES_0269,Merscom LLC
DES_0270,JoWood Productions
DES_0271,Nippon Telenet
DES_0272,TDK Core
DES_0273,Kadokawa Games
DES_0274,SSI
DES_0275,Foreign Media Games
DES_0276,Core Design Ltd.
DES_0277,bitComposer Games
DES_0278,Astragon
DES_0279,Asylum Entertainment
DES_0280,Performance Designed Products
DES_0281,UFO Interactive
DES_0282,Essential Games
DES_0283,Adeline Software
DES_0284,Funcom
DES_0285,PlayV
DES_0286,Panther Software
DES_0287,Blast! Entertainment Ltd
DES_0288,Playlogic Game Factory
DES_0289,DSI Games
DES_0290,Avalon Interactive
DES_0291,Game Life
DES_0292,Popcorn Arcade
DES_0293,Aques
DES_0294,System 3
DES_0295,Syscom
DES_0296,Vir2L Studios
DES_0297,Vatical Entertainment
