ID_VIDEOJUEGO,Nombre Videojuego,Año Publicación,Género,Ventas Norteamérica,Ventas Europa,Ventas Japón,Ventas Otros,Ventas Total,Puntaje Críticos,Cantidad Críticos,Puntaje Usuarios,Cantidad Usuarios,Rating,ID_DESARROLLADOR,ID_CONSOLA
VID_000001,Wii Sports,2006,Sports,41360000,28960000,3770000,8450000,82530000,76.0,51.0,80.0,322.0,E,DES_0001,CONS_011
VID_000002,Super Mario Bros.,1985,Platform,29080000,3580000,6810000,770000,40240000,,,,,,DES_0001,CONS_016
VID_000003,Mario Kart Wii,2008,Racing,15680000,12760000,3790000,3290000,35520000,82.0,73.0,83.0,709.0,E,DES_0001,CONS_011
VID_000004,Wii Sports Resort,2009,Sports,15610000,10930000,3280000,2950000,32770000,80.0,73.0,80.0,192.0,E,DES_0001,CONS_011
VID_000005,Pokemon Red/Pokemon Blue,1996,Role-Playing,11270000,8890000,10220000,1000000,31370000,,,,,,DES_0001,CONS_017
VID_000006,Tetris,1989,Puzzle,23200000,2260000,4220000,580000,30260000,,,,,,DES_0001,CONS_017
VID_000007,New Super Mario Bros.,2006,Platform,11280000,9140000,6500000,2880000,29800000,89.0,65.0,85.0,431.0,E,DES_0001,CONS_002
VID_000008,Wii Play,2006,Misc,13960000,9180000,2930000,2840000,28920000,58.0,41.0,66.0,129.0,E,DES_0001,CONS_011
VID_000009,New Super Mario Bros. Wii,2009,Platform,14440000,6940000,4700000,2240000,28320000,87.0,80.0,84.0,594.0,E,DES_0001,CONS_011
VID_000010,Duck Hunt,1984,Shooter,26930000,630000,280000,470000,28310000,,,,,,DES_0001,CONS_016
VID_000011,Nintendogs,2005,Simulation,9050000,10950000,1930000,2740000,24670000,,,,,,DES_0001,CONS_002
VID_000012,Mario Kart DS,2005,Racing,9710000,7470000,4130000,1900000,23210000,91.0,64.0,86.0,464.0,E,DES_0001,CONS_002
VID_000013,Pokemon Gold/Pokemon Silver,1999,Role-Playing,9000000,6180000,7200000,710000,23100000,,,,,,DES_0001,CONS_017
VID_000014,Wii Fit,2007,Sports,8920000,8029999,3600000,2150000,22700000,80.0,63.0,77.0,146.0,E,DES_0001,CONS_011
VID_000015,Kinect Adventures!,2010,Misc,15000000,4890000,240000,1690000,21810000,61.0,45.0,63.0,106.0,E,DES_0002,CONS_013
VID_000016,Wii Fit Plus,2009,Sports,9010000,8490000,2530000,1770000,21790000,80.0,33.0,74.0,52.0,E,DES_0001,CONS_011
VID_000017,Grand Theft Auto V,2013,Action,7020000,9090000,980000,3960000,21040000,97.0,50.0,82.0,3994.0,M,DES_0003,CONS_007
VID_000018,Grand Theft Auto: San Andreas,2004,Action,9430000,400000,410000,10570000,20810000,95.0,80.0,90.0,1588.0,M,DES_0003,CONS_006
VID_000019,Brain Age: Train Your Brain in Minutes a Day,2005,Misc,4740000,9200000,4160000,2040000,20150000,77.0,58.0,79.0,50.0,E,DES_0001,CONS_002
VID_000020,Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,6380000,4460000,6040000,1360000,18250000,,,,,,DES_0001,CONS_002
VID_000021,Super Mario Land,1989,Platform,10830000,2710000,4179999,420000,18140000,,,,,,DES_0001,CONS_017
VID_000022,Super Mario Bros. 3,1988,Platform,9540000,3440000,3840000,460000,17280000,,,,,,DES_0001,CONS_016
VID_000023,Grand Theft Auto V,2013,Action,9660000,5140000,60000,1410000,16270000,97.0,58.0,81.0,3711.0,M,DES_0003,CONS_013
VID_000024,Grand Theft Auto: Vice City,2002,Action,8410000,5490000,470000,1780000,16149999,95.0,62.0,87.0,730.0,M,DES_0003,CONS_006
VID_000025,Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,6060000,3900000,5380000,500000,15850000,,,,,,DES_0001,CONS_003
VID_000026,Brain Age 2: More Training in Minutes a Day,2005,Puzzle,3430000,5350000,5320000,1180000,15290000,77.0,37.0,71.0,19.0,E,DES_0001,CONS_002
VID_000027,Pokemon Black/Pokemon White,2010,Role-Playing,5510000,3170000,5650000,800000,15140000,,,,,,DES_0001,CONS_002
VID_000028,Gran Turismo 3: A-Spec,2001,Racing,6850000,5090000,1870000,1160000,14980000,95.0,54.0,84.0,314.0,E,DES_0004,CONS_006
VID_000029,Call of Duty: Modern Warfare 3,2011,Shooter,9040000,4240000,130000,1320000,14730000,88.0,81.0,34.0,8713.0,M,DES_0005,CONS_013
VID_000030,Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,5890000,5040000,3120000,590000,14640000,,,,,,DES_0001,CONS_017
VID_000031,Call of Duty: Black Ops 3,2015,Shooter,6030000,5860000,360000,2380000,14630000,,,,,,DES_0005,CONS_008
VID_000032,Call of Duty: Black Ops,2010,Shooter,9700000,3680000,110000,1130000,14610000,87.0,89.0,63.0,1454.0,M,DES_0005,CONS_013
VID_000033,Pokemon X/Pokemon Y,2013,Role-Playing,5280000,4190000,4350000,780000,14600000,,,,,,DES_0001,CONS_001
VID_000034,Call of Duty: Black Ops II,2012,Shooter,4990000,5730000,650000,2420000,13790000,83.0,21.0,53.0,922.0,M,DES_0005,CONS_007
VID_000035,Call of Duty: Black Ops II,2012,Shooter,8250000,4240000,70000,1120000,13670000,83.0,73.0,48.0,2256.0,M,DES_0005,CONS_013
VID_000036,Call of Duty: Modern Warfare 2,2009,Shooter,8520000,3590000,80000,1280000,13470000,94.0,100.0,63.0,2698.0,M,DES_0005,CONS_013
VID_000037,Call of Duty: Modern Warfare 3,2011,Shooter,5540000,5730000,490000,1570000,13320000,88.0,39.0,32.0,5234.0,M,DES_0005,CONS_007
